context,scaled_dependencies
"В Древней Греции, уделявшей большое внимание образованию молодёжи, была предусмотрена высшая ступень образования. В IV—III вв. до н. э. одним из идеологов выделения высшей ступени образования был Платон. Он хотел привлечь к этому образованию незначительную часть одарённой аристократической молодёжи (юношей), которая проявила способность к отвлечённому мышлению и способной изучать предметы не в прикладном значении, а в философско-теоретическом плане. Например, астрономию по этой системе необходимо было изучать не для прикладных целей — мореплавания, а для размышления о бесконечности Вселенной. Причём предполагалось, что закончившие эту ступень образования в возрасте 30 лет и проявившие исключительное дарование, могли продолжить образование до 35 лет с целью стать правителями государства. Сходной точки зрения придерживался в III в. до н. э. и Аристотель, который считал, что необходима и третья, высшая ступень, образования для развития у человека его природных способностей в триединстве физического, нравственного и умственного направлений.",0.06
"Бурный рост численности обществ взаимного кредита привел к необходимости объединения обществ взаимного кредита в виде Центрального Банка обществ взаимного кредита (ЦБ ОВК). Одним из причин объединения ОВК был тот факт, что в одно и то же время одни ОВК кредитовались в коммерческих банках, а другие - держали в них свободные средства. Таким образом, коммерческие банки выступали посредниками в распределении средств между ОВК, получая за это солидные проценты. Оставить эти деньги в управлении самих ОВК стало основной целью объединения. В 1909 году были открыты действия ЦБ ОВК. Он был создан на тех же организационных принципах, что и другие ОВК: каждый пайщик мог получить кредит, в 10 раз больший его взноса в основной капитал. Деятельность ЦБ ОВК сдерживало то, что по уставу он не мог привлекать в пассивы средства населения. Поэтому, несмотря на крупные кредиты в Государственном Банке и коммерческих банках, которыми располагал ЦБ ОВК, перед ним стояла проблема нехватки средств. Количество членов ЦБ ОВК постоянно росло. Если на момент открытия действий, к 30 января 1909 г., он объединял 144 ОВК (39 % всех существовавших в это время), то к началу следующего года - 304 (65 %), ещё через год - 464 (76 %), а к 1912 г. - 650 обществ.",0.05
"Истоки борьбы следует искать в первобытное время. Тогда она носила исключительно утилитарный характер. Необходимость добычи пищи, собственной защиты и защиты сородичей вынуждало первобытных людей не только быть физически готовыми, но и обладать специализированными двигательными навыками . Одним из таких навыков стало умение вести схватку без оружия с себе подобными, и возможно что с животными, поскольку из эпоса многих народов следует, что их национальный вид борьбы, корни которого теряются в глубине веков, возник из схватки мифического прародителя народа с неким мифическим же животным. Как показывают исследования этнографов, в современных племенах, сохранивших полностью первобытно-общинный уклад (Австралия, Андаманские острова, Папуа-Новая Гвинея), умение борьбы является значимым умением в племенах.[11]",0.05
"Понятие интерес широко применяется в теории стейкхолдеров. В теории стейкхолдеров основное внимание уделяется конфликту финансовых интересов заинтересованных сторон и оптимизации этих интересов. Конфликт возникает в связи с тем, что у разного типа стейкхолдеров существуют различные интересы. Например, у акционеров компании основной финансовый интерес состоит в увеличении стоимости компании. У менеджмента (менеджеров, управляющих компании) — основной финансовый интерес в увеличении уровня оплаты труда.",0.03
"Хотя дискография Мадонны с самого первого альбома в основном состояла из написанных ею же песен, при критике её вокала в прессе этот факт обычно не учитывался. Но он учитывался коллегами по музыкальному бизнесу. Такие признанные вокалистки как Селин Дион и Уитни Хьюстон отзывались о ней положительно, даже когда их аудитория или интервьюеры желали услышать осуждение безголосой Чикконе, продающейся большими тиражами, чем эти профессиональные певицы[339][340][341][342]. Позднее титулованные авторы-исполнители Адель и феномен джаза Эсперанса Сполдинг не только не критиковали Мадонну, но называли себя её поклонниками[343][344]. Часто противопоставляемая Мадонне в 80-х Синди Лаупер сказала, что пресса придумала их вражду, а её равнодушие к музыке коллеги закончилось с выходом её альбома Like a Prayer (1989), заставившем полюбить её . В своих мемуарах Синди написала:",0.06
"С целью увеличения объёмов производства в какой либо артели, её могли экономически поставить под контроль или приобрести в собственность один или несколько хозяев и тогда артель перерастала в фабрику или в завод. С появлением в каком-либо ремесле всё большего количества сложных и энергоёмких машин и механизмов, и, особенно, с привлечением достижений науки, промысел перерастал в промышленность. Наличие сложных и многочисленных машин и механизмов и наукоёмких процессов — именно та грань, за которой кончается промысел и начинается промышленность. Примером здесь может служить превращение в XIX веке в России Ива́нова, ранее типичной слободы, состоящей, в основном из ткацких артелей, в город с большим количеством ткацких фабрик. Далее, с большим применением современных, научно обоснованных процессов, Иваново стал центром текстильной промышленности в России. Вот некоторые другие примеры эволюции промыслов в промышленность с возрастанием объёмов производства, усложнением и увеличением количества используемого оборудования и с привлечением науки:",0.07
"Ударение в слове полифония испытывает колебания. В Словаре церковнославянского и русского языка, изданном Императорской Академией Наук в 1847 году, дано единственное ударение на второе „о“[7]. Российские общелексические словари 2-й половины XX века и начала XXI века, как правило, выставляют единственное ударение на втором от конца слоге[8][9][10]. Музыканты (композиторы, исполнители, педагоги и музыковеды) обычно ставят ударение на „о“; такой же орфоэпической нормы придерживаются новейшая (2014) Большая российская энциклопедия[11] и Музыкальный орфографический словарь (2007)[12]. Некоторые профильные словари и энциклопедии допускают орфоэпические варианты[13][14].",0.05
"Эта статья была перепечатана The Times. Вскоре там же появилась серия из двадцати статей под общим заголовком Средневосточный вопрос , написанная сэром Игнатием Валентином Чиролом (en). В статьях сэр Игнатий расширил определение Среднего Востока , распространив его на регионы Азии, простирающиеся до границ Индии и господствующих над подходами к Индии [9]. Позже, после того как серия статей была завершена в 1903 году, The Times стала опускать кавычки при употреблении термина в своих статьях[10].",0.05
"Писатель Джеффри Дивер в своём сборнике рассказов Век большой неопределённости истории отметил, что Кинг в одиночку популяризировал жанр фэнтези . Хотя много хорошо продаваемых писателей было и до него, Кинг более, чем кто-либо со времен Джона Д. Макдональда, принёс популярность жанру романа. Благодаря богатым характеристикам персонажей, бережному и заботливому вниманию к деталям, развитию сюжета и трансформации персонажей, он показал, что писатели могут вновь сделать актуальными такие темы, как вампиризм. Многие популярные писатели и до Кинга приложили свои усилия к жанру ужасов, но, увы, не были столь хороши. Именно эти детали сделали его популярным, именно поэтому он мастер из мастеров .",0.06
"В 14 лет на Мадонну как поп-лирика оказывает влияние дружба с будущим признанным поэтом Уином Купером (англ.)русск., который учится с ней в одной школе на класс старше. По воспоминанием Купера, девушка Чикконе кажется застенчивой и немного отстранённой, она избегает общества, скромно одевается и особо любит книги Олдоса Хаксли и роман Любовник леди Чаттерлей [42]. Ключевым событием детства Мадонны считают выступление на вечере талантов школы West в 14 лет. На нём покрытая зелёной и розовой краской артистка в топе и шортах шокирует публику исполнением танца под известную песню Baba O Riley (Teenage Wasteland) (англ.)русск. группы The Who. Этим она мгновенно убивает репутацию примерной девочки-отличницы, в городе долго обсуждают выступление, а отец сажает дочь под домашний арест. Героиню дня , братьев и сестёр начинают поддразнивать: Мадонна — шлюха , хотя к сексу это не имеет никакого отношения[43][44]. О том моменте Мадонна вспоминала:",0.04
"П. К. Услар писал: Лаки, — классические леги, — известны нам под именем казыкумухов или казыкумыков [21]. В энциклопедическом словаре Брокгауза и Ефрона сообщалось, что лаки (лакцы) это классические леги (Λήγες) [33]. Н. С. Трубецкой полагал, что чечены, лаки (кумухи) и уди образуют группу, происходившую от древних legoi (lhgai) [34]. В энциклопедии народов России сообщалось о лакцах: Их самоназ. предположительно связывается с племенем легов, упоминаемых антич. и раннесредневековыми авторами [35].",0.03
"Но самые существенные изменения связаны с формированием современного литературного болгарского языка, начавшимся в период Болгарского национального возрождения (вторая половина XVIII века — 1878 год). Кроме изменений в лексике, таких как, например, замена тюркизмов славянскими аналогами, в болгарском языке происходят и изменения морфологии — окончательно исчезают падежные формы и инфинитив глагола, а литературный язык воспринимает употребление определённого артикля ( член ). Эти особенности, наряду с другими, такими как, например, наличие девяти глагольных времён и четырёх наклонений, сильно отличают болгарский от всех других славянских языков.",0.08
"Театр Сан-Моизе специализировался тогда на одноактных операх-буффа, называвшихся фарсами. Сезон маркиза Кавалли должен был состоять из уже существующих опер и четырёх новых, написанных специально для него. Моранди написал Джоаккино и спросил, не захочет ли тот приехать в Венецию и попытаться написать необходимый фарс. Ответом Россини стал немедленный приезд в Венецию. Там ему вручили либретто под названием Брачный вексель , которое Гаэтано Росси переработал либо из пятиактной комедии Камилло Федеричи Брак по векселю , либо из ранних либретто, написанных на его основе. Россини за несколько дней положил на музыку текст Росси, и, когда партитура была готова, Кавалли её исполнил. Так осуществил свой дебют один из создателей самых ярких, самых оригинальных комических опер.",0.04
"Изменение числа хромосом, кратное гаплоидному набору хромосом (n), называется полиплоидией. Полиплоидия широко и неравномерно распространена в природе. Известны полиплоидные эукариотические микроорганизмы — грибы и водоросли, часто встречаются полиплоиды среди цветковых, но не среди голосемянных растений. Полиплоидия клеток всего организма у многоклеточных животных редка, хотя у них часто встречается эндополиплоидия некоторых дифференцированных тканей, например, печени у млекопитающих, а также тканей кишечника, слюнных желёз, мальпигиевых сосудов ряда насекомых.",0.05
"С 1238 года Белоозеро — центр самостоятельного княжества, а также торговый и ремесленный центр. Первый Белозерский князь — Глеб (1237—1278), младший сын Василька Константиновича Ростовского, был женат на внучке хана Батыя. В 1277 году белозерская дружина входила в состав войск ордынского хана Менгу-Тимура в походе на Кавказ. В том же году Глеб после смерти старшего брата Бориса унаследовал его владения (Ростов и Устюг), не дав правда ничего своим племянникам. Но уже в 1278 году Глеб Василькович умер, оставив во владения сыну Михаилу только Белоозеро. В следующем 1279 г. Михаил Глебович был выгнан с города своим двоюродным братом, Дмитрием Борисовичем Ростовским. Но Михаил не оставлял попыток овладеть своим законным владением и в 1286 г. с помощью Константина (родного брата Дмитрия Ростовского) вновь овладел отцовским наследием. У Михаила также были братья, Демьян, Василий и Роман, но о них известий не сохранилось. В 1293 г. Михаилу Глебовичу в Белоозере наследовал его старший сын, Фёдор. В 1314 году бездетного Фёдора сменил его брат Роман, который был князем до 1339 года. После смерти Романа его владения были разделены между двумя сыновьями: старшему Фёдору досталось собственно Белоозеро, а младший Василий получил Сугорье и земли к северу от озера Белое.",0.05
"Вместе с этим расплывчатость определения философии является её характерной особенностью и отделяет философию от наук. Если философам в какой-либо области удаётся совершить прорыв, обнаружив эффективную методологию познания, которая может быть усвоена без привлечения философии, то эта область обычно отделяется от философии в самостоятельную дисциплину. Так, успешное применение научного метода познания к различным классам природных объектов окончательно отделило от философии часть натурфилософии, которая впоследствии распалась на вереницу естественных наук . Например, Исаак Ньютон написал свою фундаментальную работу Математические начала натуральной философии , будучи, по его собственным представлениям, философом, а в настоящее время известен как физик и математик. Вся англоязычная наука до сих пор сохраняет следы своего родства с философией, например, в том, что во всех её дисциплинах высшая учёная степень носит название Доктор философии (англ. Ph.D.) .",0.06
"Челюсти в классах костных и хрящевых рыб эволюционно образовались из третьей пары жаберных дуг (о чём свидетельствуют рудименты первых двух пар дуг у акул — так называемые губные хрящи). У костистых рыб челюсти несут основные группы зубов на переднечелюстной (premaxilla) и верхнечелюстной костях (maxilla) (верхняя челюсть), на dentale и articulare (нижняя челюсть). Несколько специализированных групп костей формируют дно ротовой полости и соединяют челюсти с другими элементами черепа. Наиболее рострально (впереди) расположена гиоидная дуга, которая играет важную роль при изменении объёма ротовой полости. За ней идут жаберные дуги, которые несут жаберные дыхательные структуры, и наиболее каудально расположены так называемые глоточные челюсти, которые также могут нести зубы.",0.06
"Берберы представлены различными этническими группами и составляют около 25-30% алжирцев, 50% марокканцев. Согласно данным Всемирного Конгресса Амазигов (ВКА), около 50% от численности всего берберского населения входят в состав марокканского общества, 30% живут в Алжире, а остальные 20% данной этнической общности проживают в Тунисе, Ливии, Египте и Мали. В Ливии (200 тыс.), Мали (450 тыс.), Нигере (700 тыс.), Тунисе (30 тыс.) и Мавритании (250 тыс.)[19]. В настоящее время примерно 1,2 млн. берберов насчитывается только во Франции. Большинство из них имеет французское гражданство. Берберы – второй по численности после курдов этнос, не имеющий своих национально-автономных образований.",0.02
"Позже, в результате консолидации банковского бизнеса на разных этапах развития под единым брендом УРАЛСИБ были объединены более десяти российских финансовых организаций: ОАО АКБ Автобанк-НИКойл , КБ Брянский народный банк (ОАО), АБ ИБГ НИКойл (ОАО), ОАО АКБ Кузбассугольбанк , ОАО УралСиб , ОАО АКБ УРАЛСИБ-ЮГ БАНК , ОАО АКБ Стройвестбанк (и входящие в него региональные банки). Проект объединения банковского бизнеса по своим масштабам и числу кредитных организаций стал беспрецедентным как для России, так и стран Восточной Европы.",0.12
"Матричная (информационная) РНК — РНК, которая служит посредником при передаче информации, закодированной в ДНК к рибосомам, молекулярным машинам, синтезирующим белки живого организма. Кодирующая последовательность мРНК определяет последовательность аминокислот полипептидной цепи белка[29]. Однако подавляющее большинство РНК не кодируют белок. Эти некодирующие РНК могут транскрибироваться с отдельных генов (например, рибосомальные РНК) или быть производными интронов[30]. Классические, хорошо изученные типы некодирующих РНК — это транспортные РНК (тРНК) и рРНК, которые участвуют в процессе трансляции[31]. Существуют также классы РНК, ответственные за регуляцию генов, процессинг мРНК и другие роли. Кроме того, есть и молекулы некодирующих РНК, способные катализировать химические реакции, такие, как разрезание и лигирование молекул РНК[32]. По аналогии с белками, способными катализировать химические реакции — энзимами (ферментами), каталитические молекулы РНК называются рибозимами.",0.04
"Концепция Бодрийяра основывается на утверждении о необратимой порочности всей западной культуры (Baudrillard, 1990). Бодрийяр выдвигает апокалиптический взгляд на современное искусство, согласно которому оно, став производным от современных технологий, безвозвратно потеряло связь с реальностью, стало независимой от реальности структурой, перестало быть подлинным, копируя свои собственные произведения и создавая копии копий, копии без оригиналов, становясь извращенной формой подлинного искусства.",0.09
"Сольное исполнительство на саксофоне начало развиваться с середины XIX века усилиями бельгийских и французских музыкантов. Активно продвигал своё изобретение сам Сакс, среди других саксофонистов этого времени ― Анри Вюиль, Луи Майёр, Жан Мурман, Жан-Батист Суаль. Одним из первых музыкантов, познакомивших с саксофоном американскую публику, был Эдуард Лефебр, француз по происхождению, в 1884 году принявший гражданство США. Выдающейся саксофонисткой была Элиза Холл, которой посвящены более 40 сочинений композиторов-современников. Особое направление представляет собой творчество Руди Видофта, выступавшего в 1920―30-е годы.",0.04
"Пи́ксель, пи́ксел (иногда пэл, англ. pixel, pel — сокращение от piсture′s element, которое в свою очередь сокращается до pix element,[1] в некоторых источниках piсture cell — букв. элемент изображений) или элиз (редко используемый русский вариант термина) — наименьший логический элемент двумерного цифрового изображения в растровой графике, или [физический] элемент матрицы дисплеев, формирующих изображение. Пиксель представляет собой неделимый объект прямоугольной или круглой формы, характеризуемый определённым цветом (применительно к плазменным панелям, газоплазменная ячейка может быть восьмиугольной[источник не указан 2476 дней]). Растровое компьютерное изображение состоит из пикселей, расположенных по строкам и столбцам. Также пикселем ошибочно называют элемент светочувствительной матрицы (сенсель — от sensor element)",0.05
"Эффективность пастеризации молочного сырья при производстве различных молочных продуктов зависит от температуры и времени проведения процесса. Большое значение имеет первоначальное бактериальное обсеменение и механическая загрязнённость сырого молока. Эффективность пастеризации выражают отношением количества бактерий, уничтоженных пастеризацией, к количеству бактерий, содержавшихся в исходном молоке. Эффективность пастеризации должна достигать 99,5—99,98 %. Для обеспечения такого значения сырьё должно содержать не более 3·106 КОЕ/см³ общего количества бактерий (мезофильных аэробных и факультативно-анаэробных микроорганизмов КМАФАнМ), причём термостойких бактерий должно быть не более 3·104/см³, а бактерии группы кишечной палочки не должны обнаруживаться в 0,001 см³ сырья.",0.05
"Основным методом астрологической деятельности является построение и интерпретация астрологических карт – схематических изображений расположения небесных тел в некоторый момент времени. Гороскоп — схематическая карта неба, видимого в определённый момент времени в некоторой географической точке земного шара. Астрологическая карта, отражающая схематическое расположение планет на небе, но не их расположение относительно горизонта, называется космограммой – то есть космограмма отражает относительное расположение тел Солнечной системы в определённый момент времени, но не их видимость с конкретной точки Земной поверхности. Используется для предсказания событий, связанных с этой точкой пространства и моментом времени; является основой многих традиций астрологии.",0.06
"К осени 1917 года для населения России стало очевидно, что Временное правительство не выполнило ни одной из поставленных перед ним задач. Попытки наладить продразвёрстку (впервые инициированные ещё царским правительством в декабре 1916 года) провалились, развал снабжения городов продолжался. Тогда как одной из причин Февральской революции стали слухи о введении карточек на хлеб из расчёта 1 фунт на человека в сутки, после революции эти карточки всё таки были введены, причём к осени норма была урезана уже до 0,5 фунта. Вследствие развала снабжения крупных промышленных городов сырьём происходят массовые закрытия заводов, что приводит только к новой волне забастовок и безработице.",0.07
"Общественная ценность создается или разрушается только тогда, когда происходить влияние на индивидуальные переживания и поведение отдельных людей и групп таким образом, что это оказывает стабилизирующее или дестабилизирующее воздействие на оценку сплочённости общества, коллективные переживания и самоопределение индивидуумов в общественном окружении. Таким образом общественная ценность возникает таким образом в итоге оценочных процессов, которые имеют коллективный и в этом смысле социальный характер и не ограничиваются только индивидуумом.",0.09
"Известная острота Вольтера, что описание дикарей в сочинении Руссо вызывает желание ходить на четвереньках, даёт, однако, неверное представление о первобытном человеке, каким его изобразил Руссо. Задача его требовала доказать, что искони существовало равенство — и изображение соответствует задаче. Дикари у него — здоровенные и самодовлеющие самцы, живущие одиноко, без заботы и труда ; женщины, дети, старики не приняты во внимание. Всё, что нужно дикарям, даёт им добрая мать-природа; их равенство основано на отрицании всего, что может послужить поводом к неравенству. Первобытные люди Руссо счастливы, потому что, не зная искусственных потребностей, не имеют ни в чём недостатка. Они непорочны, потому что не испытывают страстей и желаний, не нуждаются друг в друге и не мешают друг другу. Итак, добродетель и счастье неразрывно связаны с равенством и исчезают с его исчезновением.",0.05
"В 1933 году МЛО меняет название на Международную коммунистическую лигу, которая становится предшественником Четвертого интернационала, учрежденного в Париже в 1938 году. Учреждение Четвёртого интернационала обосновывалось, как создание новой массовой революционной партии для руководства пролетарской революцией. Эта идея проистекала из революционной волны, которая будет разрастаться с началом грядущей мировой войны. На учредительном конгрессе, проходившем в сентябре 1938 года в доме Альфреда Росмера недалеко от Парижа, присутствовало 30 делегатов из всех крупнейших стран Европы, Северной Америки, прибыли, несмотря на большие расстояния и издержки, несколько делегатов из стран Азии и Латинской Америки. Среди резолюций, принятых на конгрессе, была Переходная программа [12].",0.06
"Старый корт № 1, примыкавший к Центральному корту, был в 1997 году заменён новой отдельной ареной к северу от Центрального корта, трибуны которой вмещают большее количество зрителей. Считается, что изначальный корт № 1 обладал уникальной атмосферой и был любим многими игроками, поэтому его реконструкция была встречена с сожалением[91]. На этом корте также проводятся многие важные матчи турнира. К 2019 году планируется завершение установки над новым кортом раздвижной крыши по образцу уже действующей на Центральном корте; стоимость проекта — 70 млн фунтов[92]. В середине второго десятилетия XXI века на трибунах корта № 1 могут разместиться около 11,4 тысячи зрителей[80]. Вместимость трибун кортов № 2 и № 3 составляет соответственно 4000 и 2000 зрительских мест, а общая вместимость всех кортов чемпионата — 39 тысяч мест[93].",0.06
"В Православной церкви внешняя сторона таинства заключается в том, что епископ, а гораздо чаще священник, ритуально мажет некоторые части тела человека особо освящённым ароматическим маслом — миром, через которое передаётся божественная благодать. Перед миропомазанием священник читает молитву о ниспослании на человека Духа Святого, а затем помазывает ему крестообразно лоб, глаза, ноздри, уста, уши, грудь, руки и ноги. При каждом помазании каждой части тела священник повторяет слова молитвы: Печа́ть да́ра Ду́ха Свята́го. Ами́нь .",0.05
"Город расположен на западном берегу Каспийского моря, на реке Суходол[22], к северу от устья реки Рубас, там где горы Большого Кавказа ближе всего подходят к Каспийскому морю, оставляя лишь узкую трёхкилометровую полосу равнины; замыкая её, город образовывал так называемый Дербентский или Каспийский проход. Роль Дербента и Дербентского прохода в древности была велика, он был расположен в одном из самых стратегически важных и топографически удобном месте знаменитого Прикаспийского пути, связывающего Восточную Европу и Переднюю Азию.",0.11
"Древнюю традицию пронесли сквозь века жители островов Эгейского моря. В XIX и начале XX века Додеканесские острова (прежде всего остров Калимнос, в окрестностях которого находились большие популяции губок) превратились в крупнейший центр добычи морских губок и торговли ими[270]. Трудный и нередко опасный промысел ныряльщиков стал важнейшей темой местного фольклора (в частности, многих песен)[271]. Первоначально ныряльщики Калимноса прыгали за борт лодки почти обнажёнными, держа в руках для быстрого погружения 15-килограммовый плоский камень; после того, как в 1865 году был изобретён водолазный скафандр, они стали использовать это новое снаряжение, позволившее увеличить глубину и длительность погружений. К концу XX века, однако, объёмы добычи и продажи морских губок значительно сократились, поскольку их вытесняют синтетические губки[266][272].",0.06
